,config_id,module,tide_model,tide_value,age,ninvar,param_config,noutvar
0,002,eqtide,CTL,-2.0,10,3,"secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
1,001,eqtide,CTL,-2.0,10,1,primary.dTidalTau,4
2,003,eqtide,CTL,-2.0,10,5,"primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
3,004,eqtide,CTL,-2.0,10,8,"vpl.dStopTime, primary.dMass, secondary.dMass, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
4,005,eqtide,CTL,-1.0,10,1,primary.dTidalTau,4
5,006,eqtide,CTL,-1.0,10,3,"secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
6,007,eqtide,CTL,-1.0,10,5,"primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
7,008,eqtide,CTL,-1.0,10,8,"vpl.dStopTime, primary.dMass, secondary.dMass, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
8,009,eqtide,CTL,-1.0,100,1,primary.dTidalTau,4
9,011,eqtide,CTL,-1.0,100,5,"primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
10,012,eqtide,CTL,-1.0,100,8,"vpl.dStopTime, primary.dMass, secondary.dMass, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
11,010,eqtide,CTL,-1.0,100,3,"secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
12,013,eqtide,CTL,-1.0,1000,1,primary.dTidalTau,4
13,014,eqtide,CTL,-1.0,1000,3,"secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
14,015,eqtide,CTL,-1.0,1000,5,"primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
15,016,eqtide,CTL,-1.0,1000,8,"vpl.dStopTime, primary.dMass, secondary.dMass, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
16,017,eqtide,CTL,-1.0,10000,1,primary.dTidalTau,4
17,018,eqtide,CTL,-1.0,10000,3,"secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
18,019,eqtide,CTL,-1.0,10000,5,"primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
19,020,eqtide,CTL,-1.0,10000,8,"vpl.dStopTime, primary.dMass, secondary.dMass, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
20,021,stellar_eqtide,CTL,-1.0,10,1,primary.dTidalTau,4
21,022,stellar_eqtide,CTL,-1.0,10,3,"secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
22,023,stellar_eqtide,CTL,-1.0,10,5,"primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
23,024,stellar_eqtide,CTL,-1.0,10,8,"vpl.dStopTime, primary.dMass, secondary.dMass, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
24,025,stellar_eqtide,CTL,-1.0,100,1,primary.dTidalTau,4
25,026,stellar_eqtide,CTL,-1.0,100,3,"secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
26,027,stellar_eqtide,CTL,-1.0,100,5,"primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
27,028,stellar_eqtide,CTL,-1.0,100,8,"vpl.dStopTime, primary.dMass, secondary.dMass, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
28,029,stellar_eqtide,CTL,-1.0,1000,1,primary.dTidalTau,4
29,030,stellar_eqtide,CTL,-1.0,1000,3,"secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
30,031,stellar_eqtide,CTL,-1.0,1000,5,"primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
31,032,stellar_eqtide,CTL,-1.0,1000,8,"vpl.dStopTime, primary.dMass, secondary.dMass, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
32,033,stellar_eqtide,CTL,-1.0,10000,1,primary.dTidalTau,4
33,034,stellar_eqtide,CTL,-1.0,10000,3,"secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
34,035,stellar_eqtide,CTL,-1.0,10000,5,"primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
35,036,stellar_eqtide,CTL,-1.0,10000,8,"vpl.dStopTime, primary.dMass, secondary.dMass, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",4
36,037,stellar_eqtide,CTL,-1.0,100,10,"vpl.dStopTime, primary.dMass, secondary.dMass, primary.dObliquity, secondary.dObliquity, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",10
37,038,stellar_eqtide,CTL,-1.0,100,9,"primary.dMass, secondary.dMass, primary.dObliquity, secondary.dObliquity, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",10
38,039,stellar_eqtide,CTL,-1.0,1000,9,"primary.dMass, secondary.dMass, primary.dObliquity, secondary.dObliquity, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",10
39,040,stellar_eqtide,CTL,-1.0,10000,9,"primary.dMass, secondary.dMass, primary.dObliquity, secondary.dObliquity, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",10
40,041,stellar_eqtide,CTL,-1.0,50,9,"primary.dMass, secondary.dMass, primary.dObliquity, secondary.dObliquity, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",10
41,042,stellar_eqtide,CTL,-1.0,500,9,"primary.dMass, secondary.dMass, primary.dObliquity, secondary.dObliquity, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",10
42,043,stellar_eqtide,CTL,-1.0,5000,9,"primary.dMass, secondary.dMass, primary.dObliquity, secondary.dObliquity, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",10
43,044,stellar_eqtide,CTL,-1.0,10,9,"primary.dMass, secondary.dMass, primary.dObliquity, secondary.dObliquity, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, secondary.dOrbPeriod, primary.dTidalTau",10
44,045,stellar_eqtide,CTL,-1.0,10,6,"primary.dMass, secondary.dMass, primary.dRotPeriod, secondary.dRotPeriod, secondary.dEcc, primary.dTidalTau",4
