ID, CONFIG, STATUS, JOBID
1, 0_n0020_00_17_00, C,2726606
2, 0_n0020_01_17_00, X,
3, 0_n0020_02_17_00, X,
4, 0_n0020_03_17_00, C,
,,,
5, 0_n0010_00_17_00, Q,2727016
6, 0_n0010_01_17_00, X,2726895
7, 0_n0010_02_17_00, X,2726896
8, 0_n0010_03_17_00, X,2726897
,,,
9, 0_n0010_00_18_00, Q,2727015
10, 0_n0010_01_18_00, X,2726948
11, 0_n0010_02_18_00, X,2726949
12, 0_n0010_03_18_00, Q,2727014
,,,
13, 0_n0010_00_19_00, Q,local
14, 0_n0010_01_19_00,Q,2727017
15, 0_n0010_02_19_00,Q,2727018
16, 0_n0010_03_19_00,Q,2727019
